phone,name, lastlocation, lastseen, state
3127607807,Yasin Kamran,Rawalkot,10:46 PM,KASHMIR
3044532544,Kushal Tariq,Badin,1:42 AM,SINDH
3422243997,Murad Hamid,Jhang,6:22 AM,PUNJAB
3251273836,Saqib Abid,Gujrawala,8:38 AM,PUNJAB
3367068700,Habib Hasib,Ziarat,8:59 PM,BALOCHISTAN
3137126309,Asif Muhammad,Pasni,2:23 AM,BALOCHISTAN
3377091508,Maqsud Noman,Pasni,8:27 PM,BALOCHISTAN
3360314957,Ikram Shahrukh,Hajira,6:49 PM,KASHMIR
3236950870,Atiq Rana,Quetta,3:50 PM,BALOCHISTAN
3148178573,Fahad Abid,Dera Bugti,1:13 AM,BALOCHISTAN
3309034240,Arif Ajmal,Chiniot,7:41 AM,PUNJAB
3276355116,Israr Rimsha,Chakswari,1:46 AM,KASHMIR
3078651331,Iftikhar Amin,Faisalabad,7:35 PM,PUNJAB
3241847395,Ali Nawaz,Muzaffarabad,3:37 AM,KASHMIR
3257804078,Syed Dawood,Kalat,7:25 PM,BALOCHISTAN
3014714056,Salma Ata,Rawalkot,7:27 AM,KASHMIR
3017017028,Abid Raj,Chiniot,4:46 PM,PUNJAB
3229544993,Ali Raja,New Mirpur City,6:55 PM,KASHMIR
3126919151,Abdal Osman,Kohat,10:17 AM,KPK
3199758038,Shoaib Rana,Ziarat,3:19 AM,BALOCHISTAN
3063427140,Youshay Junaid,Thar,10:37 PM,SINDH
3286153161,Abbas Habib,Sialkot,5:39 PM,PUNJAB
3195504432,Yusuf Azhar,Qasoor,12:25 AM,PUNJAB
3279683578,Dawood Habib,Peshawar,12:41 AM,KPK
3219639849,Faiza Zahid,Dera Ismail Khan,6:53 PM,KPK
3120657560,AkbarAkmal Syed,Hajira,12:45 PM,KASHMIR
3235143279,Liaquat Nadeem,Kohat,1:31 AM,KPK
3320224466,Adeel Zia,New Mirpur City,9:45 AM,KASHMIR
3341989366,Youshay Nadeem,Khairpoor,2:40 PM,SINDH
3144317273,Kamran Salma,Gujrawala,9:14 PM,PUNJAB
